t,eps_ref  # digitised from DeBonis 2013 NASA/TM-2013-217850 Fig. 4(a), black ref. soln. curve
0.000000000000000000e+00,4.381939304219096805e-04
5.000000000000000278e-02,4.381939304219096805e-04
1.000000000000000056e-01,4.381939304219096805e-04
1.499999999999999944e-01,4.381939304219096805e-04
2.000000000000000111e-01,4.381939304219096805e-04
2.500000000000000000e-01,4.441154700222057529e-04
2.999999999999999889e-01,4.381939304219096805e-04
3.499999999999999778e-01,4.441154700222057529e-04
4.000000000000000222e-01,4.441154700222057529e-04
4.500000000000000111e-01,4.441154700222057529e-04
5.000000000000000000e-01,4.441154700222057529e-04
5.500000000000000444e-01,4.441154700222057529e-04
5.999999999999999778e-01,4.500370096225018795e-04
6.500000000000000222e-01,4.559585492227979518e-04
6.999999999999999556e-01,4.559585492227979518e-04
7.500000000000000000e-01,4.559585492227979518e-04
8.000000000000000444e-01,4.678016284233900966e-04
8.499999999999999778e-01,4.678016284233900966e-04
9.000000000000000222e-01,4.711769059955589196e-04
9.499999999999999556e-01,4.796447076239822413e-04
1.000000000000000000e+00,4.796447076239822413e-04
1.050000000000000044e+00,4.914877868245744403e-04
1.100000000000000089e+00,4.914877868245744403e-04
1.149999999999999911e+00,5.033308660251665850e-04
1.199999999999999956e+00,5.033308660251665850e-04
1.250000000000000000e+00,5.151739452257586213e-04
1.300000000000000044e+00,5.180754996299037499e-04
1.350000000000000089e+00,5.270170244263508745e-04
1.399999999999999911e+00,5.388601036269430192e-04
1.449999999999999956e+00,5.398667653589934784e-04
1.500000000000000000e+00,5.507031828275351639e-04
1.550000000000000044e+00,5.625462620281273087e-04
1.600000000000000089e+00,5.743893412287194534e-04
1.649999999999999911e+00,5.835381199111768901e-04
1.699999999999999956e+00,5.910880829015543580e-04
1.750000000000000000e+00,6.013323464100666423e-04
1.800000000000000044e+00,6.115766099185789267e-04
1.850000000000000089e+00,6.218208734270911026e-04
1.899999999999999911e+00,6.387564766839377460e-04
1.949999999999999956e+00,6.541524796447077076e-04
2.000000000000000000e+00,6.667653589933382474e-04
2.049999999999999822e+00,6.809770540340488645e-04
2.100000000000000089e+00,6.947742413027387489e-04
2.149999999999999911e+00,7.117394522575869274e-04
2.200000000000000178e+00,7.283493708364175518e-04
